ID,prediction
1,0
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,-1
30,0
31,1
32,0
33,-1
34,0
35,-1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,-1
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,-1
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,0
107,-1
108,1
109,1
110,-1
111,0
112,1
113,1
114,0
115,0
116,1
117,-1
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,0
213,1
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,0
225,-1
226,0
227,0
228,1
229,0
230,-1
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,-1
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,-1
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,-1
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,-1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,1
399,1
400,1
401,0
402,-1
403,0
404,0
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
